,region_name,tree_type_name,forest_type_name,land_loss,unit_name,uncertainty,creation_date,modified_date,validity_date,source_name,region_id,forest_type_id,tree_type_id,unit_id,source_id
14161,Auvergne-Rhône-Alpes,Mixed,Open and closed forest,-5580.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,3,3,3,26,2
14162,Auvergne-Rhône-Alpes,Total,Closed forest,-5030.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,3,2,4,26,2
14163,Auvergne-Rhône-Alpes,Total,Open and closed forest,-4810.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,3,3,4,26,2
14164,Normandie,Coniferous,Closed forest,-6710.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,11,2,2,26,2
14165,Normandie,Coniferous,Open and closed forest,-6710.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,11,3,2,26,2
14166,Normandie,Deciduous,Closed forest,-5860.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,11,2,1,26,2
14167,Normandie,Deciduous,Open and closed forest,-5810.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,11,3,1,26,2
14168,Normandie,Mixed,Closed forest,-4970.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,11,2,3,26,2
14169,Normandie,Mixed,Open and closed forest,-4930.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,11,3,3,26,2
14170,Normandie,Total,Closed forest,-5870.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,11,2,4,26,2
14171,Normandie,Total,Open and closed forest,-5800.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,11,3,4,26,2
14172,Bourgogne-Franche-Comté Dijon,Coniferous,Closed forest,-2240.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,4,2,2,26,2
14173,Bourgogne-Franche-Comté Dijon,Coniferous,Open and closed forest,-2240.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,4,3,2,26,2
14174,Bourgogne-Franche-Comté Dijon,Deciduous,Closed forest,-5610.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,4,2,1,26,2
14175,Bourgogne-Franche-Comté Dijon,Deciduous,Open and closed forest,-5600.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,4,3,1,26,2
14176,Bourgogne-Franche-Comté Dijon,Mixed,Closed forest,-2780.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,4,2,3,26,2
14177,Bourgogne-Franche-Comté Dijon,Mixed,Open and closed forest,-2810.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,4,3,3,26,2
14178,Bourgogne-Franche-Comté Dijon,Total,Closed forest,-5090.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,4,2,4,26,2
14179,Bourgogne-Franche-Comté Dijon,Total,Open and closed forest,-5010.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,4,3,4,26,2
14180,Bretagne,Coniferous,Closed forest,-1520.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,5,2,2,26,2
14181,Bretagne,Coniferous,Open and closed forest,-1530.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,5,3,2,26,2
14182,Bretagne,Deciduous,Closed forest,-6860.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,5,2,1,26,2
14183,Bretagne,Deciduous,Open and closed forest,-6710.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,5,3,1,26,2
14184,Bretagne,Mixed,Closed forest,-9650.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,5,2,3,26,2
14185,Bretagne,Mixed,Open and closed forest,-9650.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,5,3,3,26,2
14186,Bretagne,Total,Closed forest,-6230.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,5,2,4,26,2
14187,Bretagne,Total,Open and closed forest,-5920.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,5,3,4,26,2
14188,Centre,Coniferous,Closed forest,-4910.0,kgCO2e/ha.an,50%,2019-11-01,2019-11-01,2023-01-01,ADEME,6,2,2,26,2
